안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,위도,경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치년도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자
18016,01,05,가평어린이집앞,,경기도 가평군 가평읍 읍내리 625-4,37.83389166,127.5112731,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18017,01,05,가평초등학교정문,,경기도 가평군 가평읍 읍내리 557,37.83021435,127.508616,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18019,01,05,대성초등학교앞,경기도 가평군 청평면 경춘로 75,경기도 가평군 청평면 대성리 399-16,37.6830392,127.3776562,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18020,01,05,마장초등학교앞,,경기도 가평군 가평읍 마장리 358-5,37.8597456,127.5151229,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18021,01,05,명지분교,,경기도 가평군 북면 적목리 167-18,37.97063565,127.4550874,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18023,01,05,미원초등학교앞,,경기도 가평군 설악면 신천리 497-1,37.67895144,127.4911757,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18024,01,05,미원초 위곡분교앞,,경기도 가평군 설악면 위곡리 794-3,37.66997839,127.5155631,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18025,01,05,방일초등학교앞,,경기도 가평군 설악면 방일리 643,37.62926551,127.4983503,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18027,01,05,상색초등학교앞,경기도 가평군 가평읍 태봉두밀로 34-31,경기도 가평군 가평읍 상색리 171-2,37.8053021,127.4851899,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18050,01,05,청평원미빌라삼거리,,경기도 가평군 청평면 청평리 319-100,37.73995482,127.4228045,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18051,01,05,청평은성장여관,,경기도 가평군 청평면 청평리 796-1,37.73698744,127.4196356,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18043,01,05,설악CU편의점,,경기도 가평군 설악면 신천리 408-15,37.67678282,127.4932063,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18044,01,05,오목교,,경기도 가평군 가평읍 달전리 637,37.8170094,127.5147789,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18045,01,05,이화빌라,경기도 가평군 가평읍 정간내로19번길 19-20,경기도 가평군 가평읍 읍내리 259,37.8334326,127.5130684,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18046,01,05,임초2리마을회관,,경기도 가평군 상면 임초리 338,37.76500577,127.3719935,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18002,01,01,가평체육공원2,,경기도 가평군 가평읍 대곡리 347,37.82316079,127.5072891,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18003,01,01,가평체육공원3,,경기도 가평군 가평읍 대곡리 347-1,37.82241136,127.507857,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18015,01,01,참전비 근린공원,,경기도 가평군 가평읍 읍내리 365-1,37.82586702,127.5159838,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18018,01,05,가평초등학교후문,경기도 가평군 가평읍 향교로27번길 13,경기도 가평군 가평읍 읍내리 575-6,37.83131288,127.5084135,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18022,01,05,목동초등학교앞,경기도 가평군 북면 석장모루길 13,경기도 가평군 북면 이곡리 13-45,37.880255,127.5490362,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18026,01,05,상면초등학교앞,,경기도 가평군 상면 임초리 446-1,37.77613164,127.3706603,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18004,01,01,가평체육공원4,,경기도 가평군 가평읍 대곡리 산 4-1,37.82213637,127.5057141,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18001,01,01,가평체육공원1,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 337,37.82404843,127.5089434,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18052,01,05,현리버스터미널,,경기도 가평군 조종면 현리 410-23,37.81821562,127.3482904,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18053,01,05,청평농협앞 사거리,,경기도 가평군 청평면 청평리 455-13,37.73680033,127.4176559,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18054,01,05,가평구역전,,경기도 가평군 가평읍 대곡리 164-4,37.82484658,127.5139246,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18055,01,05,서울주택사거리,,경기도 가평군 가평읍 읍내리 581,37.8317583,127.5063103,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18056,01,05,가평구철다리앞,,경기도 가평군 가평읍 읍내리 1038,37.8284444,127.5142607,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18057,01,05,청평구역사CU앞,,경기도 가평군 청평면 청평리 388-1,37.73723753,127.4228314,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18058,01,05,상천역,,경기도 가평군 청평면 상천리 1293-3,37.77080863,127.4527286,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18060,01,05,자라목교,,경기도 가평군 가평읍 읍내리 1031-1,37.83162088,127.5182371,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18061,01,05,남이섬입구,,경기도 가평군 가평읍 달전리 109-4,37.8058799,127.525999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18062,01,05,읍내3리마을쉼터앞,,경기도 가평군 가평읍 읍내리 503-29,37.83209224,127.5107212,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18063,01,05,가평축협뒤,,경기도 가평군 가평읍 대곡리 171-13,37.82436026,127.5145736,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18065,01,05,현리시가지싱싱마트앞,,경기도 가평군 조종면 현리 262-29,37.81973974,127.3489697,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18066,01,05,상면농협앞,,경기도 가평군 상면 연하리 547-16,37.80530536,127.3562552,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18067,01,05,천계닭갈비사거리,,경기도 가평군 가평읍 읍내리 468-52,37.82919298,127.5124177,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18069,01,05,읍내파출소,,경기도 가평군 가평읍 대곡리 194-2,37.82394369,127.5157755,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18070,01,05,뚝방길 주차장,,경기도 가평군 가평읍 읍내리 317-5,37.8263899,127.5176999,03,N,N,N,경보음+CCTV+음성통화,2019,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18071,01,05,가평육교아래 운동시설,,경기도 가평군 가평읍 대곡리 10-36,37.82330999,127.5187186,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
18072,01,05,잣고을곰탕 앞,,경기도 가평군 가평읍 읍내리 534-6,37.82947121,127.510106,03,N,N,N,경보음+CCTV+음성통화,2018,2020-04-30,Y,가평군청,031-580-2571,2022-06-14
000B26R03,01,02,행신8호 어린이공원_(여),경기도 고양시 덕양구 화신로 16,경기도 고양시 덕양구 행신동 786번지,37.61401824,126.8402054,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R07,01,02,행신나루공원_(여),경기도 고양시 덕양구 권율대로 215-2,경기도 고양시 덕양구 행신동 1089,37.61490452,126.847613,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R51,01,02,호수공원(주제광장화장실)_(여),,경기도 고양시 일산동구 장항동 906(제3주차장),37.66444643,126.7604431,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R26,01,02,가라산공원(경로당),경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924번지,37.62518207,126.841994,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R12,01,02,가라산공원(관리사),경기도 고양시 덕양구 화신로 148,경기도 고양시 덕양구 행신동 924번지,37.62518207,126.841994,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B24R11,01,02,가좌근린공원_(여),경기도 고양시 일산서구 송산로 387-7,경기도 고양시 일산서구 가좌동 1098번지,37.68619741,126.721692,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R71,01,02,간이공원_(여),경기도 고양시 일산동구 백석로72번길 31-12,경기도 고양시 일산동구 백석동 1269번지,37.646116,126.7880046,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B24R09,01,02,강재어린이공원_(여),경기도 고양시 일산서구 강성로 126,경기도 고양시 일산서구 주엽동 52번지,37.67255034,126.7633732,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R67,01,02,"강촌공원, 낙민공원_(여)",,경기도 고양시 일산동구 마두동 772(관리소건물),37.6528417,126.7792766,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R46,01,02,개나리공원_(여),경기도 고양시 일산동구 소개울2길 43,경기도 고양시 일산동구 중산동 1736번지,37.6838308,126.7901512,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R23,01,02,고양공원(관리동),,경기도 고양시 덕양구 고양동 30,37.70591982,126.9006419,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R58,01,02,호수공원(꽃전시관)_(여),경기도 고양시 일산동구 중앙로 1129,경기도 고양시 일산동구 장항동 902번지 호수마을1단지아파트,37.64876731,126.7797252,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B35R01,01,02,호수공원(장미화장실)_(여),,경기도 고양시 일산동구 장항동 906(장미터널),37.66444643,126.7604431,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R38,01,02,꽃우물공원,경기도 고양시 덕양구 화중로151번길 56,경기도 고양시 덕양구 화정동 867번지,37.64105095,126.8295741,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R62,01,02,냉천공원_(여),경기도 고양시 일산동구 일산로330번길 26-11,경기도 고양시 일산동구 마두동 837번지,37.6648701,126.7858478,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R77,01,02,능안공원_(여),경기도 고양시 일산동구 일산로297번길 68-2,경기도 고양시 일산동구 마두동 958,37.65990123,126.7833743,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R60,01,02,닥밭공원_(여),경기도 고양시 일산동구 무궁화로93번길 32,경기도 고양시 일산동구 정발산동 698번지,37.667494,126.772506,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B26R21,01,02,달빛공원,경기도 고양시 덕양구 화수로 11-2,경기도 고양시 덕양구 화정동 859,37.64530692,126.8310141,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B24R08,01,02,대화레포츠공원_(여),,경기도 고양시 일산서구 대화동 2314,37.66991791,126.7370988,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
000B24R12,01,02,도화어린이공원_(여),경기도 고양시 일산서구 일산로 604,경기도 고양시 일산서구 일산동 1043번지,37.68229664,126.7622449,03,Y,N,N,경보등+경보음,2017,2022-11-03,Y,고양시 자원순환과,031-8075-2685,2022-11-03
