안전시설명,안전시설전화번호,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
코사마트(미도슈퍼),031-962-2593,,경기도 고양시 덕양구 성사동 422-2,37.65633065,126.8430375,S
어울림마트,031-966-8847,,경기도 고양시 덕양구 성사동 731,37.65168774,126.834458,S
복지슈퍼,031-968-6533,경기도 고양시 덕양구 호국로716번길 7-18,경기도 고양시 덕양구 성사동 736-14,37.6516853,126.8327583,S
용문슈퍼,02-353-5432,,경기도 고양시 덕양구 용두동 19,,,F
휠라(원당점),031-967-0100,,경기도 고양시 덕양구 주교동,,,F
코사마트(원당점),031-964-3869,경기도 고양시 덕양구 원당로101번길 52-15,경기도 고양시 덕양구 주교동 573-12,37.66310474,126.8356789,S
원당문구,031-968-2287,경기도 고양시 덕양구 마상로107번길 7,경기도 고양시 덕양구 주교동 575-5,37.66118544,126.8355132,S
두배로마트(주교점),031-968-7767,경기도 고양시 덕양구 마상로 100,경기도 고양시 덕양구 주교동 581-17,37.66113,126.8345387,S
GS25(고양원당점),031-962-1865,경기도 고양시 덕양구 호국로779번길 29,경기도 고양시 덕양구 주교동 611,37.65676848,126.8339592,S
경성부동산,031-979-0222,경기도 고양시 덕양구 토당로 133-2,경기도 고양시 덕양구 토당동 248-6,37.62683211,126.8178507,S
형제문구,031-973-0160,경기도 고양시 덕양구 토당로 101-7,경기도 고양시 덕양구 토당동 296-8,37.62405588,126.8170646,S
신선마트,031-972-0858,경기도 고양시 덕양구 행신로97번길 4,경기도 고양시 덕양구 토당동 407-8,37.61782687,126.8266738,S
코사마트,031-979-9470,경기도 고양시 덕양구 지도로 40,경기도 고양시 덕양구 토당동 877-1,37.62052687,126.8247305,S
행신마트,031-972-9733,,경기도 고양시 덕양구 행신동 1074,37.61974695,126.8465706,S
365두배로마트,031-978-2319,경기도 고양시 덕양구 소원로181번길 20,경기도 고양시 덕양구 행신동 1090,37.61407744,126.8447816,S
고양홈마트,031-907-0777,경기도 고양시 덕양구 소원로 267,경기도 고양시 덕양구 행신동 1096,37.61488615,126.8499786,S
동부할인마트,031-972-6955,경기도 고양시 덕양구 행신로311번길 42,경기도 고양시 덕양구 행신동 213-6,37.62302296,126.8439245,S
보광당,031-972-2002,경기도 고양시 덕양구 행신로 155-6,경기도 고양시 덕양구 행신동 621-5,37.61935845,126.832764,S
이조약국,031-972-4426,경기도 고양시 덕양구 행신로143번길 72-1,경기도 고양시 덕양구 행신동 634-35,37.62255482,126.8313181,S
홈플러스,031-938-7830,경기도 고양시 덕양구 용현로 49-21,경기도 고양시 덕양구 행신동 749,37.61694647,126.834593,S
삼보약국,031-971-3306,,경기도 고양시 덕양구 행신동 771,37.61602317,126.8379251,S
삼보부동산,031-970-7733,,경기도 고양시 덕양구 행신동 771,37.61602317,126.8379251,S
부흥마트,031-971-1735,,경기도 고양시 덕양구 행신동 773,37.61724803,126.8375939,S
동광부동산,031-971-8787,,경기도 고양시 덕양구 행신동 773,37.61724803,126.8375939,S
굿모닝안경,031-938-9412,,경기도 고양시 덕양구 행신동 783,37.6159995,126.840349,S
가나부동산,031-979-7272,,경기도 고양시 덕양구 행신동 788,37.61355185,126.8425402,S
하나로약국,031-971-9052,경기도 고양시 덕양구 충장로 134,경기도 고양시 덕양구 행신동 943-1,37.62429889,126.8349276,S
태양문구,031-978-5916,경기도 고양시 덕양구 행신로311번길 53,경기도 고양시 덕양구 행신동 961,37.62280595,126.8433472,S
삼천리자전거,031-974-3526,경기도 고양시 덕양구 충장로 118-30,경기도 고양시 덕양구 행신동 983,37.62083195,126.8362041,S
가람문구,031-938-1005,경기도 고양시 덕양구 충장로 118-54,경기도 고양시 덕양구 행신동 987,37.62147106,126.8357949,S
정성가든,031-972-7902,경기도 고양시 덕양구 행주로17번길 82,경기도 고양시 덕양구 행주내동 174-2,37.60236205,126.8239584,S
대성문구,02-3158-4253,,경기도 고양시 덕양구 화전동,,,F
코사마트(새마을점),02-3158-1253,경기도 고양시 덕양구 중앙로78번안길 67,경기도 고양시 덕양구 화전동 159-6,37.59980945,126.8777077,S
코사마트(화전점),02-3158-5162,경기도 고양시 덕양구 화랑로 74-1,경기도 고양시 덕양구 화전동 562-48,37.60499807,126.868594,S
나들가게(세띠앙분식),031-978-8555,경기도 고양시 덕양구 화중로 32-17,경기도 고양시 덕양구 화정동 1002-7,37.63015862,126.8310401,S
이화문구,031-964-6332,경기도 고양시 덕양구 백양로 159,경기도 고양시 덕양구 화정동 885-12,37.639832,126.8351759,S
코사마트(용정점),031-964-2868,경기도 고양시 덕양구 화중로151번길 35-2,경기도 고양시 덕양구 화정동 917-15,37.64058202,126.8304609,S
웨이팅문구,031-973-6185,경기도 고양시 덕양구 화신로 319,경기도 고양시 덕양구 화정동 946,37.63252113,126.8262652,S
코사마트(봉봉점),031-972-0083,경기도 고양시 덕양구 화신로 234,경기도 고양시 덕양구 화정동 993,37.63047111,126.8353216,S
용호태권도,031-903-7123,,경기도 고양시 일산동구 마두동,,,F
경희휘트니스태권도,031-905-9535,,경기도 고양시 일산동구 마두동 402,,,F
쌍용부동산,031-902-2300,,경기도 고양시 일산동구 마두동 717,37.65887986,126.791207,S
신아어린이집,031-907-2006,,경기도 고양시 일산동구 마두동 732번지 백마마을한양금호3단지아파트,37.65510507,126.7913537,S
동심어린이집,031-905-5114,,경기도 고양시 일산동구 마두동 734,37.6560185,126.7932889,S
우주약국,031-907-0567,,경기도 고양시 일산동구 마두동 744 백마5단지 설촌상가,,,F
떡빚는고을,031-903-6655,경기도 고양시 일산동구 강송로 169,경기도 고양시 일산동구 마두동 785,37.65373934,126.7835385,S
홈플러스마두점,031-901-8485,,경기도 고양시 일산동구 마두동 790-3,,,F
성심부동산,031-901-3344,,경기도 고양시 일산동구 마두동 794,37.65529409,126.7814374,S
부동산뱅크,031-903-5555,경기도 고양시 일산동구 강석로 141,경기도 고양시 일산동구 마두동 800 마두파킹프라자,37.65310729,126.7780217,S
보람미용실,031-904-8790,경기도 고양시 일산동구 산두로 87,경기도 고양시 일산동구 마두동 828,37.66562941,126.7869603,S
엔젤24시,031-904-0031,경기도 고양시 일산동구 일산로330번길 3,경기도 고양시 일산동구 마두동 851-4,37.66490372,126.7842876,S
르노삼성(마두점),031-901-4324,경기도 고양시 일산동구 일산로286번길 26-2,경기도 고양시 일산동구 마두동 905,37.66154891,126.7874368,S
고봉이용원,031-917-7314,경기도 고양시 일산동구 문봉길 93,경기도 고양시 일산동구 문봉동 204-3,37.70620892,126.8132309,S
cu편의점(백석호수점),031-903-7117,,경기도 고양시 일산동구 백석동,,,F
삼성전자,031-905-3577,,경기도 고양시 일산동구 백석동,,,F
쿠쿠홈시스,,,경기도 고양시 일산동구 백석동,,,F
한국야쿠르트 서경영업소,031-904-4350,,경기도 고양시 일산동구 백석동,,,F
탑모터스,031-922-0031,,경기도 고양시 일산동구 백석동,,,F
그린마트,031-902-3533,,경기도 고양시 일산동구 백석동,,,F
백석튼튼태권도,,,경기도 고양시 일산동구 백석동,,,F
GS25시(일산테크빌점),031-907-6804,경기도 고양시 일산동구 일산로 142,경기도 고양시 일산동구 백석동 1141-2,37.64980251,126.7936804,S
민속떡집,031-903-3898,,경기도 고양시 일산동구 백석동 1186,37.65068931,126.7907883,S
한국유통,031-907-7701,,경기도 고양시 일산동구 백석동 1190,37.65082703,126.7872411,S
평화몬테소리,031-905-2929,,경기도 고양시 일산동구 백석동 1190번지 백송마을삼호5단지아파트,37.65082703,126.7872411,S
금계문구,031-903-7496,경기도 고양시 일산동구 강송로125번길 29,경기도 고양시 일산동구 백석동 1220-3,37.64921844,126.7845942,S
우체국(백석동),031-901-0100,경기도 고양시 일산동구 강송로 123,경기도 고양시 일산동구 백석동 1223,37.6497164,126.7859072,S
이전유통,031-908-0020,경기도 고양시 일산동구 백석로86번길 58,경기도 고양시 일산동구 백석동 1259,37.64591169,126.7894082,S
모퉁이네식당,031-905-0039,,경기도 고양시 일산동구 백석동 1343,37.64221921,126.7852945,S
이페니아미용실,031-903-7123,,경기도 고양시 일산동구 백석동 1343,37.64221921,126.7852945,S
동녁어린이집,031-903-2760,경기도 고양시 일산동구 강촌로26번길 7-14,경기도 고양시 일산동구 백석동 1413-3,37.6465518,126.7798997,S
잉글리쉬무무학원,,경기도 고양시 일산동구 강촌로26번길 16-4,경기도 고양시 일산동구 백석동 1451-10번지 1층,37.64585701,126.7793466,S
진원체육관,031-964-1120,,경기도 고양시 일산동구 사리현동,,,F
gs25편의점(고양식사점),031-966-3882,,경기도 고양시 일산동구 식사동,,,F
CU 식사자이점,070-815-4090,경기도 고양시 일산동구 위시티4로 80,경기도 고양시 일산동구 식사동 1487 위시티 상가 109호,37.68343956,126.8119625,S
성우카센터,031-963-6844,경기도 고양시 일산동구 고양대로1037번길 5,경기도 고양시 일산동구 식사동 619-38,37.67218884,126.8078768,S
청구약국,031-904-5882,경기도 고양시 일산동구 노루목로 99,경기도 고양시 일산동구 장항동 883 청구(아) 111,37.65018453,126.7761268,S
크린토피아 일산저동점,031-919-4560,,경기도 고양시 일산동구 정발산동,,,F
용인타이곤태권도장,031-916-7677,,경기도 고양시 일산동구 정발산동,,,F
용인대타이곤태권도,031-916-7677,,경기도 고양시 일산동구 정발산동,,,F
우체국(정발산점),031-911-5005,경기도 고양시 일산동구 일산로 425,경기도 고양시 일산동구 정발산동 1206,37.67226377,126.7790407,S
한솔하이퍼마트,031-914-9569,경기도 고양시 일산동구 무궁화로187번길 43,경기도 고양시 일산동구 정발산동 1225-3,37.67282494,126.7803992,S
현대트랜스,031-911-9000,경기도 고양시 일산동구 산두로201번길 26,경기도 고양시 일산동구 정발산동 1244-9,37.67385321,126.7810195,S
저동수퍼,031-913-9445,경기도 고양시 일산동구 대산로11번길 24-1,경기도 고양시 일산동구 정발산동 689번지,37.66857776,126.7737926,S
"진영수퍼, 문구",031-918-9636,경기도 고양시 일산동구 대산로11번길 51,경기도 고양시 일산동구 정발산동 700-10,37.66740559,126.7733202,S
gs칼텍스(일산그린점),031-977-0305,,경기도 고양시 일산동구 중산동,,,F
해피마트,031-975-8438,,경기도 고양시 일산동구 중산동,,,F
지에스칼텍스,,,경기도 고양시 일산동구 중산동,,,F
중산우체국,,,경기도 고양시 일산동구 중산동,,,F
삼품하트마트,031-976-4172,,경기도 고양시 일산동구 중산동 1554-2,37.6944873,126.7821032,S
우체국(중산점),031-977-2006,경기도 고양시 일산동구 중산로 226,경기도 고양시 일산동구 중산동 1573-3,37.69196147,126.7804327,S
코사마트(중산2호점),031-976-8023,,경기도 고양시 일산동구 중산동 1576 중산 12단지,37.68715253,126.7816035,S
하눌문구팬시,031-975-8338,,경기도 고양시 일산동구 중산동 1680,37.68040976,126.7797077,S
하늘문구팬시,031-975-8338,경기도 고양시 일산동구 중산로 103,경기도 고양시 일산동구 중산동 1691번지,37.68115975,126.7808731,S
제일공인중개사,031-975-4433,,경기도 고양시 일산동구 중산동 1800,37.67696503,126.7877663,S
경희대하늘태권도,031-976-7676,,경기도 고양시 일산동구 중산동 401호,,,F
석사중산태권도,031-976-4538,,경기도 고양시 일산동구 중산동 4층,,,F
동방태권도,031-976-0777,경기도 고양시 일산동구 중산로 149,경기도 고양시 일산동구 중산동 스카이빌딩 2층,37.68540303,126.7807357,S
중앙마트,031-908-9380,,경기도 고양시 일산동구 풍동,,,F
다솜분식,031-908-8919,경기도 고양시 일산동구 숲속마을2로 147,경기도 고양시 일산동구 풍동 1247,37.67232426,126.7974257,S
우체국(풍동),031-901-2106,경기도 고양시 일산동구 숲속마을로 56,경기도 고양시 일산동구 풍동 1270,37.66754847,126.7970421,S
GS25시(풍동태성점),031-913-3420,경기도 고양시 일산동구 숲속마을로 26,경기도 고양시 일산동구 풍동 1278,37.66723891,126.8003752,S
홈플러스 익스프레스,,경기도 고양시 일산동구 숲속마을로 40,경기도 고양시 일산동구 풍동 1279-1번지,37.66732627,126.7987882,S
뜨란채문구,031-901-9921,경기도 고양시 일산동구 숲속마을로 49-32,경기도 고양시 일산동구 풍동 1285-1,37.66571022,126.7968772,S
해봄약국,031-907-3621,경기도 고양시 일산동구 숲속마을1로 29-30,경기도 고양시 일산동구 풍동 1354,37.66407108,126.7972331,S
대한태권도키즈센터,031-906-0808,,경기도 고양시 일산동구 풍동 7층,,,F
비룡태권도,031-903-0055,경기도 고양시 일산동구 숲속마을로 49-32,경기도 고양시 일산동구 풍동 그린프라자 3층,37.66571022,126.7968772,S
아이태권스쿨,031-901-9399,경기도 고양시 일산동구 숲속마을로 44,경기도 고양시 일산동구 풍동 미래타워 5층,37.66735229,126.7982101,S
고양주공태권도체육관,031-906-6007,경기도 고양시 일산동구 숲속마을1로 71,경기도 고양시 일산동구 풍동 샘터 17 빌딩,37.66726475,126.7996838,S
(일산서구) 가좌연세태권도,031-923-2111,,경기도 고양시 일산서구 가좌동 1086 6단지 상가동 203호,,,F
(일산서구) 모닝글로리,031-922-8280,경기도 고양시 일산서구 가좌1로 38,경기도 고양시 일산서구 가좌동 1088번지 가좌마을벽산블루밍3단지아파트벽산 107호,37.68932424,126.7187195,S
(일산서구) GS가좌대우점,031-917-0644,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089 대우2단지 상가 101,37.68704105,126.7171637,S
(일산서구) 일산선약국,031-923-0222,경기도 고양시 일산서구 가좌3로 43,경기도 고양시 일산서구 가좌동 1089번지,37.68704105,126.7171637,S
(일산서구) 진시황제,031-923-8088,경기도 고양시 일산서구 가좌3로 7-1,경기도 고양시 일산서구 가좌동 308-1번지,37.6852374,126.7201862,S
(일산서구) 부동산뱅크,031-923-0041,경기도 고양시 일산서구 가좌3로 47,경기도 고양시 일산서구 가좌동 404번지 선진상가 103호,37.68821344,126.7176353,S
(일산서구) 코사마트양우,031-925-1212,,경기도 고양시 일산서구 가좌동 양우1단지 상가,,,F
(일산서구) 엘리트안경,031-917-6929,경기도 고양시 일산서구 송포로 35,경기도 고양시 일산서구 대화동 1464-7 대륙상가 106호,37.66948988,126.7322718,S
(일산서구) 살롱드보떼,031-919-3052,경기도 고양시 일산서구 성저로 102-11,경기도 고양시 일산서구 대화동 2005-15,37.6847637,126.7581548,S
(일산서구) 챔문구점,031-912-1503,경기도 고양시 일산서구 웅비로12번길 5-7,경기도 고양시 일산서구 대화동 2020-2,37.68426499,126.756626,S
(일산서구) 삼성공인중개사사무소,031-917-4894,경기도 고양시 일산서구 일산로 638,경기도 고양시 일산서구 대화동 2032-4 성저빌딩 104호,37.68198948,126.7585153,S
(일산서구) 성저태권도,031-925-0078,경기도 고양시 일산서구 일산로 662,경기도 고양시 일산서구 대화동 2033 하나로프라자 203호,37.68292977,126.7557688,S
(일산서구) 코사마트,031-918-4458,경기도 고양시 일산서구 성저로 48,경기도 고양시 일산서구 대화동 2054,37.68398664,126.7527951,S
(일산서구) 삼성디지털프라자 대화점,031-919-1946,경기도 고양시 일산서구 중앙로 1582,경기도 고양시 일산서구 대화동 2206-2번지,37.67684674,126.7466072,S
(일산서구) 일산태극체육관,031-915-0704,,경기도 고양시 일산서구 대화동 2212번지 성저동익아파트 성저마을동익1단지아파트 성저동익상가 3층,37.67904469,126.7506012,S
(일산서구) 파리바게트,031-918-1086,경기도 고양시 일산서구 중앙로 1567,경기도 고양시 일산서구 대화동 2222,37.67565927,126.7474388,S
(일산서구) 한내문구,031-924-8844,경기도 고양시 일산서구 대화로 124,경기도 고양시 일산서구 대화동 863-16 명성프라자 113,37.66988206,126.7343559,S
(일산서구) GS25시 덕이하이파크점,031-911-3693,경기도 고양시 일산서구 하이파크3로 111,경기도 고양시 일산서구 덕이동 1529번지 하이파크시티일산파밀리에2단지 GS25덕이하이파크점,37.70123672,126.7512291,S
(일산서구) 덕이시티공인중개사,031-915-0114,경기도 고양시 일산서구 하이파크3로 61,경기도 고양시 일산서구 덕이동 1535번지 하이파크시티4단지아파트 103호,37.69780217,126.7503449,S
(일산서구) 덕이시티공인중개사,031-915-0114,경기도 고양시 일산서구 하이파크3로 10,경기도 고양시 일산서구 덕이동 393번지 신동아파밀리에 상가 103호,37.69259441,126.7544896,S
(일산서구) 자전거 장남감나라,031-921-3323,경기도 고양시 일산서구 덕이로 92,경기도 고양시 일산서구 덕이동 520-5,37.69140386,126.7496523,S
(일산서구) 농심가수퍼,031-913-9910,경기도 고양시 일산서구 후곡로 51,경기도 고양시 일산서구 일산동 1046 후곡2단지 상가,37.68226283,126.7644094,S
(일산서구) 본헤어미용실,031-816-8585,경기도 고양시 일산서구 일산로 614,경기도 고양시 일산서구 일산동 1050 후곡6단지 상가,37.68162542,126.7611012,S
(일산서구) 동부수퍼,031-915-7811,경기도 고양시 일산서구 일산로 614,경기도 고양시 일산서구 일산동 1050 후곡6단지 상가,37.68162542,126.7611012,S
(일산서구) 경희대한국태권도장,031-917-5533,경기도 고양시 일산서구 일산로 589,경기도 고양시 일산서구 일산동 1054-1,37.67954726,126.7626043,S
(일산서구) 관리사무실,031-911-4463,경기도 고양시 일산서구 후곡로 12,경기도 고양시 일산서구 일산동 1058 후곡9단지 상가,37.67765884,126.7643788,S
(일산서구) 으뜸부동산,031-914-5555,경기도 고양시 일산서구 후곡로 12,경기도 고양시 일산서구 일산동 1058 후곡9단지상가,37.67765884,126.7643788,S
(일산서구) 후곡문고,031-925-4300,경기도 고양시 일산서구 후곡로 22,경기도 고양시 일산서구 일산동 1059 지하1층,37.67904503,126.7637395,S
(일산서구) 올가뷰티,031-915-1809,경기도 고양시 일산서구 강선로 140,경기도 고양시 일산서구 일산동 1087 후곡17단지 상가,37.67518399,126.7702924,S
(일산서구) 유명식베이커리,031-922-5422,경기도 고양시 일산서구 강선로 168,경기도 고양시 일산서구 일산동 1101 후곡14단지 상가,37.67709672,126.771658,S
(일산서구) 서교경희대스포츠,031-976-0688,경기도 고양시 일산서구 고양대로 726,경기도 고양시 일산서구 일산동 1673-1 5층,37.68273728,126.7765719,S
(일산서구) 태화태권도,031-923-0303,경기도 고양시 일산서구 일청로65번길 15,경기도 고양시 일산서구 일산동 1936 2층,37.68946048,126.7729575,S
(일산서구) 굳프렌드편의점 로또토토,031-977-3905,경기도 고양시 일산서구 일청로 40-1,경기도 고양시 일산서구 일산동 586-16,37.68737785,126.7722383,S
(일산서구) 코사마트일산점,031-976-5732,경기도 고양시 일산서구 탄중로471번길 15,경기도 고양시 일산서구 일산동 587-63 미주상가 103,37.68740779,126.7737347,S
(일산서구) 한국태권도아카데미,031-911-8823,경기도 고양시 일산서구 산현로92번길 60,경기도 고양시 일산서구 일산동 이화프라자 307호,37.68934807,126.7707697,S
(일산서구) 신일산삼천리대리점,031-912-2531,,경기도 고양시 일산서구 주엽동 101 강선14단지,37.66790401,126.7612364,S
(일산서구) 문촌자전거,031-916-1399,,경기도 고양시 일산서구 주엽동 23,37.67218298,126.7609392,S
(일산서구) 삼천리자전거 문촌점,031-916-1399,경기도 고양시 일산서구 주엽로 156,경기도 고양시 일산서구 주엽동 23번지 문촌9단지 상가 102호,37.67218298,126.7609392,S
(일산서구) 대우벽산공인중개사,031-913-3300,경기도 고양시 일산서구 대산로 102,경기도 고양시 일산서구 주엽동 36 강선1단지 상가,37.67441029,126.7663275,S
(일산서구) 동부건영부동산,031-912-3322,경기도 고양시 일산서구 강선로 96,경기도 고양시 일산서구 주엽동 49 강선5단지 상가,37.67149381,126.7676516,S
(일산서구) 낙원떡방,031-912-1775,,경기도 고양시 일산서구 주엽동 63번지 강선마을LG롯데8단지아파트 강선8단지 상가,37.66974366,126.7665123,S
(일산서구) 제일공인중개사사무소,031-914-8005,,경기도 고양시 일산서구 주엽동 강선2단지 상가 제일부동산,,,F
(일산서구) 피아노교습소,031-918-9990,,경기도 고양시 일산서구 주엽동 강선9단지상가,,,F
(일산서구) 우리슈퍼,031-912-6759,,경기도 고양시 일산서구 주엽동 분산상가,,,F
